date,open,high,low,close,volume,oi
12/12/1991,274.41,274.41,273.71,274.41,1577,0
12/13/1991,276.81,277,274.41,277,746,0
12/16/1991,277.53,277.85,277,277.85,580,0
12/17/1991,278.67,278.68,277.85,278.68,493,0
12/18/1991,279.32,279.51,278.68,279.51,760,0
12/19/1991,279.98,280.17,279.51,280.17,1094,0
12/20/1991,282.83,282.83,280.63,282.83,4393,0
12/23/1991,285.65,285.65,282.83,285.65,1046,0
12/24/1991,285.74,286.22,285.65,286.22,486,0
12/25/1991,287.09,287.15,286.22,287.15,573,0
12/26/1991,288.03,288.03,287.15,288.03,1168,0
12/27/1991,290.65,290.85,288.03,290.85,1551,0
12/30/1991,291.71,291.71,290.85,291.71,1165,0
12/31/1991,292.48,292.75,291.71,292.75,584,0
01/02/1992,293.74,293.75,292.76,293.75,928,0
01/03/1992,296.24,296.52,293.75,296.52,1436,0
01/06/1992,297.68,297.68,296.52,297.68,3400,0
01/07/1992,298.54,298.77,297.68,298.77,892,0
01/08/1992,299.65,299.66,298.77,299.66,659,0
01/09/1992,300.61,300.62,299.66,300.62,943,0
01/10/1992,301.82,301.83,300.62,301.83,1605,0
01/13/1992,302.83,303.06,302,303.06,725,0
01/14/1992,304.77,305.74,303.06,305.74,632,0
01/15/1992,306.62,306.63,305.74,306.63,259,0
01/16/1992,306.85,306.85,306.63,306.85,378,0
01/17/1992,307.37,307.38,306.85,307.38,250,0
01/20/1992,307.38,307.39,307.38,307.39,445,0
01/21/1992,307.87,307.87,307.39,307.87,534,0
01/22/1992,307.95,307.95,307.87,307.95,312,0
01/23/1992,308.53,308.53,307.95,308.53,413,0
01/24/1992,309.05,309.05,308.53,309.05,722,0
01/27/1992,311.6,311.61,309.05,311.61,562,0
01/28/1992,311.67,311.84,311.61,311.84,664,0
01/29/1992,312.41,312.58,311.84,312.42,401,0
01/30/1992,312.73,312.73,312.42,312.73,391,0
01/31/1992,313.24,313.24,312.73,313.24,354,0
02/03/1992,314.18,314.18,313.24,314.18,305,0
02/07/1992,314.72,314.72,314.18,314.72,327,0
02/10/1992,315.55,315.56,314.72,315.56,354,0
02/11/1992,316.12,316.43,315.56,316.43,296,0
02/12/1992,316.43,316.44,316.43,316.44,270,0
02/13/1992,317.24,317.57,317.04,317.04,1020,0
02/14/1992,319.45,319.68,317.04,319.68,457,0
02/17/1992,319.77,319.77,319.68,319.77,6369,0
02/18/1992,338.98,339.16,319.77,337.11,7407,0
02/19/1992,340.5,342.41,337.11,342.41,9401,0
02/20/1992,345.22,348.01,342.41,347.99,10341,0
02/21/1992,358.91,359.93,347.99,359.59,11582,0
02/24/1992,361.11,361.62,359.59,360.5,30157,0
02/25/1992,359.66,361.29,357.07,360.37,4862,0
02/26/1992,359.85,360.76,359.27,360.1,5753,0
02/27/1992,361,363.03,360.1,362.45,9524,0
02/28/1992,364.15,364.67,362.45,364.66,9862,0
03/02/1992,365.15,365.39,364.66,365.39,3405,0
03/03/1992,366.79,367.25,365.39,367,2989,0
03/04/1992,367.56,368.32,366.95,368.32,5614,0
03/05/1992,369.31,369.88,368.11,369.76,8360,0
03/06/1992,370.79,371.76,369.76,371.76,5237,0
03/09/1992,372.26,374.06,371.88,373.53,20968,0
03/10/1992,374.48,375.23,373.53,375.23,5011,0
03/11/1992,375.87,376.25,374.98,376.14,4001,0
03/12/1992,377.55,377.57,376.14,376.92,10326,0
03/13/1992,376.58,377.19,376.38,376.38,2527,0
03/16/1992,377,377.42,376.38,377.05,2646,0
03/17/1992,377.5,377.84,377.03,377.49,890,0
03/18/1992,377.94,378.32,377.49,377.66,4028,0
03/19/1992,377.26,377.96,376.21,377.31,13628,0
03/20/1992,377.91,378.03,377.31,377.99,3160,0
03/23/1992,378.61,379.04,377.45,378.89,10290,0
03/24/1992,378.53,379.5,378.05,378.69,4378,0
03/25/1992,378.33,379.02,378.12,378.12,11820,0
03/26/1992,379.29,379.34,377.64,379.13,10225,0
03/27/1992,379.65,380.79,379.13,380.77,1892,0
03/30/1992,381.54,381.56,380.76,381.44,12655,0
03/31/1992,381.87,382.06,381.24,381.24,17391,0
04/01/1992,381.55,381.85,381.01,381.01,4065,0
04/02/1992,381.47,381.58,381.01,381.12,1673,0
04/03/1992,381.44,381.57,381.12,381.33,1700,0
04/06/1992,381.97,382.08,381.33,381.47,5298,0
04/07/1992,381.95,382.1,381.47,381.93,10613,0
04/08/1992,382.53,382.59,381.92,382.43,1866,0
04/09/1992,381.93,382.88,381.65,381.65,3168,0
04/10/1992,381.52,382.04,381.2,382.03,7066,0
04/13/1992,387.27,392.28,382.03,391.11,20593,0
04/14/1992,393.1,400.61,391.1,400.61,9415,0
04/15/1992,400.35,406.72,398.23,406.72,10566,0
04/16/1992,404.07,410.61,403.52,410.55,39211,0
04/17/1992,408.56,414.42,406.19,414.42,15678,0
04/20/1992,417.19,420.99,413.64,413.85,10170,0
04/21/1992,417.99,421.55,402.89,410.06,51257,0
04/22/1992,400.12,410.06,399.87,399.88,50596,0
04/23/1992,407.13,408.86,394.6,407.25,54718,0
04/24/1992,405.88,415.05,397.74,414.4,34706,0
04/27/1992,422.45,424.92,413.47,424.58,37257,0
04/28/1992,434.9,436.31,424.58,436.09,42392,0
04/29/1992,445.25,446.12,436.09,444.16,52899,0
04/30/1992,435.73,448.94,433.66,445.38,45704,0
05/04/1992,454.86,456.24,445.38,453.62,64362,0
05/05/1992,447.42,455.36,439.96,449.21,49359,0
05/06/1992,449.78,454.08,446.39,449.96,33687,0
05/07/1992,452.86,457.05,449.55,454.65,34414,0
05/08/1992,461.05,468.42,454.65,468.11,48634,0
05/11/1992,483.29,491.5,468.11,491.5,30950,0
05/12/1992,502.8,506.68,491.5,506.53,33278,0
05/13/1992,505.27,517.86,499.4,514.04,33897,0
05/14/1992,514.48,523.5,511.91,523.36,33010,0
05/15/1992,529.39,544.56,523.36,544.35,63283,0
05/18/1992,560.09,571.85,544.35,571.82,29992,0
05/19/1992,590.41,598.11,571.82,598.11,47790,0
05/20/1992,617.28,623.88,598.11,616.99,65646,0
05/21/1992,1260.32,1334.98,604.01,1266.49,89657,0
05/22/1992,1306.37,1349.71,1262.44,1339.99,93725,0
